Args:
	algorithm: ERM
	checkpoint_freq: None
	data_dir: data
	dataset: RotatedMNIST
	holdout_fraction: 0.2
	hparams: None
	hparams_seed: 0
	output_dir: output/erm/256_60_e3
	seed: 0
	steps: None
	test_envs: [3]
	trial_seed: 0
HParams:
	batch_size: 256
	class_balanced: False
	fd: 60
	groupdro_eta: 0.01
	irm_lambda: 100.0
	irm_penalty_anneal_iters: 500
	lr: 0.001
	mixup_alpha: 0.2
	mldg_beta: 1.0
	mlp_depth: 3
	mlp_dropout: 0.0
	mlp_width: 256
	mmd_gamma: 1.0
	resnet_dropout: 0.0
	weight_decay: 0.0
saved at step 0
env0_in_acc   env0_out_acc  env1_in_acc   env1_out_acc  env2_in_acc   env2_out_acc  env3_in_acc   env3_out_acc  env4_in_acc   env4_out_acc  env5_in_acc   env5_out_acc  epoch         loss          step          step_time    
0.0821727019  0.0865837977  0.1209556460  0.1200171453  0.1435611742  0.1401628804  0.1491322048  0.1448778397  0.1486124504  0.1508786970  0.1339333548  0.1380197171  0.0000000000  2.3186452389  0             0.8957238197 
saved at step 100
0.9086136705  0.8945563652  0.9303621170  0.9352764681  0.9311120634  0.9335619374  0.9276837369  0.9318474068  0.9258544948  0.9207029576  0.9020679310  0.9125589370  100.00000000  1.6616831326  100           0.1674676037 
saved at step 200
0.9721448468  0.9567081012  0.9795371759  0.9781397342  0.9751446325  0.9734247750  0.9700021427  0.9657093871  0.9789992500  0.9708529790  0.9778206365  0.9734247750  200.00000000  1.0100098503  200           0.1696755552 
0.9734304693  0.9622803258  0.9773944718  0.9738534076  0.9644311121  0.9601371625  0.9517891579  0.9489927132  0.9637844209  0.9545649378  0.9635701275  0.9567081012  300.00000000  0.6080249143  300           0.1705326748 
0.9642168417  0.9412773253  0.9698950075  0.9614230604  0.9637883008  0.9652807544  0.9582172702  0.9622803258  0.9690346084  0.9597085298  0.9638915676  0.9592798971  400.00000000  0.3813919553  400           0.1714249682 
0.9512534819  0.9318474068  0.9681808442  0.9609944278  0.9548960789  0.9477068153  0.9417184487  0.9442777540  0.9491053252  0.9331333048  0.9424622308  0.9382768967  500.00000000  0.2543962079  500           0.1697055507 
saved at step 600
0.9865009642  0.9699957137  0.9916434540  0.9849978568  0.9937861581  0.9824260609  0.9840368545  0.9815687955  0.9936783457  0.9807115302  0.9904639451  0.9789969996  600.00000000  0.1791009915  600           0.1690812373 
0.9707520891  0.9532790399  0.9771802014  0.9708529790  0.9780372831  0.9729961423  0.9661452753  0.9704243463  0.9764277296  0.9695670810  0.9710703954  0.9648521217  700.00000000  0.1358929650  700           0.1696743369 
0.9810370688  0.9644234891  0.9895007499  0.9785683669  0.9901435612  0.9802828976  0.9778230126  0.9811401629  0.9886424515  0.9785683669  0.9814636237  0.9708529790  800.00000000  0.1064876972  800           0.1703949237 
saved at step 900
0.9982858367  0.9811401629  0.9987143775  0.9879982855  0.9990357832  0.9871410201  0.9881079923  0.9884269181  0.9986070931  0.9871410201  0.9983927997  0.9871410201  900.00000000  0.0824151285  900           0.1691130328 
0.9869295050  0.9699957137  0.9895007499  0.9759965709  0.9874651811  0.9785683669  0.9790014999  0.9815687955  0.9894996250  0.9772824689  0.9882138648  0.9721388770  1000.0000000  0.0665153121  1000          0.1697475505 
0.9861795586  0.9695670810  0.9910006428  0.9832833262  0.9912149132  0.9789969996  0.9799657167  0.9798542649  0.9915354120  0.9764252036  0.9858566377  0.9742820403  1100.0000000  0.0600028228  1100          0.1687315607 
0.9966788087  0.9789969996  0.9974287551  0.9849978568  0.9972144847  0.9815687955  0.9853224770  0.9845692242  0.9977499196  0.9849978568  0.9987142398  0.9854264895  1200.0000000  0.0485105652  1200          0.1692923999 
0.9951789158  0.9772824689  0.9972144847  0.9841405915  0.9973216199  0.9837119589  0.9860724234  0.9837119589  0.9952855459  0.9828546935  0.9950712525  0.9802828976  1300.0000000  0.0410692525  1300          0.1700155425 
saved at step 1400
1.0000000000  0.9841405915  1.0000000000  0.9909987141  1.0000000000  0.9897128161  0.9915363188  0.9922846121  0.9998928533  0.9892841835  0.9997857066  0.9897128161  1400.0000000  0.0334285374  1400          0.1693826342 
saved at step 1500
1.0000000000  0.9841405915  1.0000000000  0.9922846121  1.0000000000  0.9909987141  0.9925005357  0.9927132447  0.9998928533  0.9892841835  0.9997857066  0.9897128161  1500.0000000  0.0284561407  1500          0.1691753054 
0.9936790229  0.9721388770  0.9957145918  0.9849978568  0.9940004285  0.9811401629  0.9795371759  0.9828546935  0.9929283189  0.9794256322  0.9891781849  0.9734247750  1600.0000000  0.0263941630  1600          0.1691532588 
0.8855796015  0.8786969567  0.9231840583  0.9138448350  0.9389329334  0.9404200600  0.9396828798  0.9395627947  0.9611057538  0.9447063866  0.9464266581  0.9387055294  1700.0000000  0.0298191927  1700          0.1704802155 
0.9968930791  0.9789969996  0.9971073495  0.9849978568  0.9949646454  0.9824260609  0.9795371759  0.9837119589  0.9927140255  0.9785683669  0.9904639451  0.9751393056  1800.0000000  0.0281628055  1800          0.1694517851 
1.0000000000  0.9858551222  1.0000000000  0.9914273468  0.9998928648  0.9897128161  0.9916434540  0.9888555508  0.9998928533  0.9901414488  0.9997857066  0.9888555508  1900.0000000  0.0195426036  1900          0.1702670503 
1.0000000000  0.9832833262  1.0000000000  0.9918559794  1.0000000000  0.9905700814  0.9926076709  0.9909987141  1.0000000000  0.9905700814  0.9998928533  0.9897128161  2000.0000000  0.0161269757  2000          0.1690301967 
1.0000000000  0.9845692242  1.0000000000  0.9909987141  1.0000000000  0.9901414488  0.9928219413  0.9918559794  1.0000000000  0.9909987141  0.9998928533  0.9897128161  2100.0000000  0.0145967366  2100          0.1688480115 
saved at step 2200
1.0000000000  0.9849978568  1.0000000000  0.9909987141  1.0000000000  0.9905700814  0.9927148061  0.9922846121  1.0000000000  0.9914273468  0.9998928533  0.9901414488  2200.0000000  0.0130901369  2200          0.1697631955 
saved at step 2300
1.0000000000  0.9854264895  1.0000000000  0.9914273468  1.0000000000  0.9909987141  0.9926076709  0.9918559794  1.0000000000  0.9914273468  0.9998928533  0.9892841835  2300.0000000  0.0118801921  2300          0.1684950757 
1.0000000000  0.9849978568  1.0000000000  0.9914273468  1.0000000000  0.9901414488  0.9929290765  0.9927132447  1.0000000000  0.9918559794  0.9998928533  0.9901414488  2400.0000000  0.0111190304  2400          0.1691467333 
1.0000000000  0.9849978568  1.0000000000  0.9905700814  1.0000000000  0.9905700814  0.9928219413  0.9914273468  1.0000000000  0.9905700814  0.9998928533  0.9901414488  2500.0000000  0.0100100098  2500          0.1679101253 
1.0000000000  0.9854264895  1.0000000000  0.9909987141  1.0000000000  0.9901414488  0.9929290765  0.9927132447  1.0000000000  0.9914273468  0.9998928533  0.9905700814  2600.0000000  0.0092005113  2600          0.1684455800 
1.0000000000  0.9832833262  1.0000000000  0.9901414488  1.0000000000  0.9892841835  0.9922862653  0.9918559794  0.9997857066  0.9909987141  0.9996785599  0.9892841835  2700.0000000  0.0085166130  2700          0.1691214895 
0.7572316263  0.7385340763  0.7644096850  0.7843977711  0.7442682666  0.7329618517  0.7350546390  0.7346763823  0.7359905711  0.7449635662  0.7377049180  0.7479639949  2800.0000000  0.0220675556  2800          0.1676147318 
0.9889650739  0.9618516931  0.9957145918  0.9867123875  0.9962502678  0.9845692242  0.9861795586  0.9871410201  0.9958212793  0.9824260609  0.9936783457  0.9837119589  2900.0000000  0.0161644778  2900          0.1688131571 
0.9970002143  0.9785683669  0.9985001071  0.9871410201  0.9974287551  0.9875696528  0.9869295050  0.9884269181  0.9986070931  0.9819974282  0.9981785064  0.9858551222  3000.0000000  0.0100007561  3000          0.1689471698 
1.0000000000  0.9871410201  1.0000000000  0.9909987141  1.0000000000  0.9888555508  0.9908935076  0.9905700814  1.0000000000  0.9875696528  0.9998928533  0.9892841835  3100.0000000  0.0072434011  3100          0.1682350492 
1.0000000000  0.9867123875  1.0000000000  0.9897128161  1.0000000000  0.9897128161  0.9920719949  0.9918559794  1.0000000000  0.9884269181  0.9998928533  0.9892841835  3200.0000000  0.0059321246  3200          0.1693600082 
1.0000000000  0.9871410201  1.0000000000  0.9897128161  1.0000000000  0.9901414488  0.9923934005  0.9927132447  1.0000000000  0.9888555508  0.9998928533  0.9905700814  3300.0000000  0.0053627939  3300          0.1697451138 
1.0000000000  0.9871410201  1.0000000000  0.9901414488  1.0000000000  0.9892841835  0.9926076709  0.9931418774  1.0000000000  0.9888555508  0.9998928533  0.9897128161  3400.0000000  0.0050157439  3400          0.1700562930 
0.9982858367  0.9815687955  0.9966788087  0.9871410201  0.9938932933  0.9768538363  0.9810370688  0.9794256322  0.9933569056  0.9824260609  0.9962498661  0.9819974282  3500.0000000  0.0049551889  3500          0.1692145586 
0.9631454896  0.9442777540  0.9672166274  0.9511358766  0.9660381401  0.9549935705  0.9500749946  0.9554222032  0.9698917818  0.9532790399  0.9664630880  0.9515645092  3600.0000000  0.0089621122  3600          0.1689300728 
0.9507178059  0.9305615088  0.9641097064  0.9434204886  0.9735376045  0.9695670810  0.9683951146  0.9678525504  0.9836065574  0.9699957137  0.9853209043  0.9747106730  3700.0000000  0.0114015831  3700          0.1692311883 
0.9952860510  0.9772824689  0.9978572959  0.9849978568  0.9977501607  0.9892841835  0.9884293979  0.9879982855  0.9982856531  0.9858551222  0.9986070931  0.9884269181  3800.0000000  0.0072697976  3800          0.1701620245 
0.9998928648  0.9824260609  1.0000000000  0.9905700814  1.0000000000  0.9914273468  0.9910006428  0.9918559794  0.9997857066  0.9892841835  0.9995714133  0.9862837548  3900.0000000  0.0046948441  3900          0.1692292714 
1.0000000000  0.9841405915  1.0000000000  0.9909987141  1.0000000000  0.9884269181  0.9921791301  0.9918559794  1.0000000000  0.9901414488  0.9998928533  0.9884269181  4000.0000000  0.0035814075  4000          0.1691536689 
1.0000000000  0.9845692242  1.0000000000  0.9914273468  1.0000000000  0.9897128161  0.9931433469  0.9901414488  1.0000000000  0.9901414488  1.0000000000  0.9901414488  4100.0000000  0.0031945358  4100          0.1696357393 
1.0000000000  0.9837119589  1.0000000000  0.9918559794  1.0000000000  0.9892841835  0.9932504821  0.9905700814  1.0000000000  0.9905700814  1.0000000000  0.9901414488  4200.0000000  0.0029213923  4200          0.1696863866 
1.0000000000  0.9845692242  1.0000000000  0.9918559794  1.0000000000  0.9892841835  0.9930362117  0.9909987141  1.0000000000  0.9901414488  1.0000000000  0.9901414488  4300.0000000  0.0027285710  4300          0.1703091264 
1.0000000000  0.9854264895  1.0000000000  0.9914273468  1.0000000000  0.9897128161  0.9930362117  0.9909987141  1.0000000000  0.9897128161  1.0000000000  0.9901414488  4400.0000000  0.0025594834  4400          0.1689149976 
1.0000000000  0.9849978568  1.0000000000  0.9914273468  1.0000000000  0.9897128161  0.9931433469  0.9905700814  1.0000000000  0.9905700814  1.0000000000  0.9901414488  4500.0000000  0.0024021566  4500          0.1691505790 
1.0000000000  0.9858551222  1.0000000000  0.9914273468  1.0000000000  0.9897128161  0.9930362117  0.9914273468  1.0000000000  0.9901414488  1.0000000000  0.9901414488  4600.0000000  0.0022580444  4600          0.1697439146 
1.0000000000  0.9849978568  1.0000000000  0.9909987141  1.0000000000  0.9892841835  0.9929290765  0.9909987141  1.0000000000  0.9901414488  1.0000000000  0.9901414488  4700.0000000  0.0021248530  4700          0.1695439386 
1.0000000000  0.9854264895  1.0000000000  0.9909987141  1.0000000000  0.9897128161  0.9928219413  0.9914273468  1.0000000000  0.9901414488  1.0000000000  0.9901414488  4800.0000000  0.0020003145  4800          0.1708065104 
1.0000000000  0.9862837548  1.0000000000  0.9909987141  1.0000000000  0.9901414488  0.9927148061  0.9909987141  1.0000000000  0.9905700814  1.0000000000  0.9901414488  4900.0000000  0.0018843501  4900          0.1698955846 
1.0000000000  0.9854264895  1.0000000000  0.9909987141  1.0000000000  0.9901414488  0.9926076709  0.9914273468  1.0000000000  0.9901414488  1.0000000000  0.9901414488  5000.0000000  0.0017766529  5000          0.1694446421 
1.0000000000  0.9862837548  1.0000000000  0.9909987141  1.0000000000  0.9897128161  0.9928219413  0.9914273468  1.0000000000  0.9905700814  1.0000000000  0.9901414488  5100.0000000  0.0016758936  5100          0.1681917667 
1.0000000000  0.9862837548  1.0000000000  0.9909987141  1.0000000000  0.9897128161  0.9929290765  0.9914273468  1.0000000000  0.9897128161  1.0000000000  0.9905700814  5200.0000000  0.0015809858  5200          0.1699336267 
1.0000000000  0.9854264895  1.0000000000  0.9909987141  1.0000000000  0.9897128161  0.9930362117  0.9914273468  1.0000000000  0.9901414488  1.0000000000  0.9905700814  5300.0000000  0.0014938184  5300          0.1688500953 
1.0000000000  0.9862837548  1.0000000000  0.9914273468  1.0000000000  0.9897128161  0.9930362117  0.9914273468  1.0000000000  0.9897128161  1.0000000000  0.9905700814  5400.0000000  0.0014110912  5400          0.1679723811 
1.0000000000  0.9858551222  1.0000000000  0.9914273468  1.0000000000  0.9897128161  0.9929290765  0.9914273468  1.0000000000  0.9901414488  1.0000000000  0.9905700814  5500.0000000  0.0013329937  5500          0.1685970163 
1.0000000000  0.9858551222  1.0000000000  0.9905700814  1.0000000000  0.9897128161  0.9927148061  0.9914273468  1.0000000000  0.9897128161  1.0000000000  0.9905700814  5600.0000000  0.0012602024  5600          0.1697143173 
1.0000000000  0.9862837548  1.0000000000  0.9909987141  1.0000000000  0.9897128161  0.9929290765  0.9909987141  1.0000000000  0.9901414488  1.0000000000  0.9905700814  5700.0000000  0.0011915527  5700          0.1687560153 
1.0000000000  0.9867123875  1.0000000000  0.9909987141  1.0000000000  0.9897128161  0.9929290765  0.9909987141  1.0000000000  0.9905700814  1.0000000000  0.9905700814  5800.0000000  0.0011271424  5800          0.1686724663 
1.0000000000  0.9862837548  1.0000000000  0.9909987141  1.0000000000  0.9897128161  0.9927148061  0.9909987141  1.0000000000  0.9901414488  1.0000000000  0.9905700814  5900.0000000  0.0010659395  5900          0.1688725781 
1.0000000000  0.9858551222  1.0000000000  0.9909987141  1.0000000000  0.9897128161  0.9926076709  0.9909987141  1.0000000000  0.9897128161  1.0000000000  0.9905700814  6000.0000000  0.0010096357  6000          0.1693268228 
1.0000000000  0.9858551222  1.0000000000  0.9909987141  1.0000000000  0.9897128161  0.9928219413  0.9909987141  1.0000000000  0.9897128161  1.0000000000  0.9901414488  6100.0000000  0.0009552572  6100          0.1694033742 
1.0000000000  0.9858551222  1.0000000000  0.9909987141  1.0000000000  0.9897128161  0.9927148061  0.9909987141  1.0000000000  0.9897128161  1.0000000000  0.9905700814  6200.0000000  0.0009045424  6200          0.1716435742 
1.0000000000  0.9858551222  1.0000000000  0.9905700814  1.0000000000  0.9892841835  0.9927148061  0.9914273468  1.0000000000  0.9897128161  1.0000000000  0.9905700814  6300.0000000  0.0008564513  6300          0.1693537426 
1.0000000000  0.9854264895  1.0000000000  0.9909987141  1.0000000000  0.9897128161  0.9928219413  0.9909987141  1.0000000000  0.9901414488  1.0000000000  0.9901414488  6400.0000000  0.0008115496  6400          0.1687968898 
1.0000000000  0.9858551222  1.0000000000  0.9909987141  1.0000000000  0.9897128161  0.9930362117  0.9918559794  1.0000000000  0.9901414488  1.0000000000  0.9905700814  6500.0000000  0.0007685900  6500          0.1691618943 
1.0000000000  0.9858551222  1.0000000000  0.9909987141  1.0000000000  0.9897128161  0.9926076709  0.9905700814  1.0000000000  0.9901414488  1.0000000000  0.9901414488  6600.0000000  0.0007286801  6600          0.1693183780 
1.0000000000  0.9858551222  1.0000000000  0.9909987141  1.0000000000  0.9897128161  0.9928219413  0.9909987141  1.0000000000  0.9901414488  1.0000000000  0.9901414488  6700.0000000  0.0006904849  6700          0.1683833599 
1.0000000000  0.9854264895  1.0000000000  0.9905700814  1.0000000000  0.9897128161  0.9926076709  0.9905700814  1.0000000000  0.9897128161  1.0000000000  0.9901414488  6800.0000000  0.0006544796  6800          0.1678517461 
1.0000000000  0.9862837548  1.0000000000  0.9909987141  1.0000000000  0.9897128161  0.9921791301  0.9905700814  1.0000000000  0.9897128161  1.0000000000  0.9901414488  6900.0000000  0.0006206565  6900          0.1691933823 
1.0000000000  0.9854264895  1.0000000000  0.9914273468  1.0000000000  0.9897128161  0.9923934005  0.9905700814  1.0000000000  0.9901414488  1.0000000000  0.9901414488  7000.0000000  0.0005881355  7000          0.1692711496 
1.0000000000  0.9858551222  1.0000000000  0.9918559794  1.0000000000  0.9897128161  0.9928219413  0.9909987141  1.0000000000  0.9905700814  1.0000000000  0.9901414488  7100.0000000  0.0005577609  7100          0.1694042826 
1.0000000000  0.9854264895  1.0000000000  0.9914273468  1.0000000000  0.9892841835  0.9927148061  0.9905700814  1.0000000000  0.9901414488  1.0000000000  0.9901414488  7200.0000000  0.0005289007  7200          0.1689063263 
1.0000000000  0.9862837548  1.0000000000  0.9914273468  1.0000000000  0.9897128161  0.9925005357  0.9905700814  1.0000000000  0.9905700814  1.0000000000  0.9901414488  7300.0000000  0.0005017210  7300          0.1690358329 
1.0000000000  0.9849978568  1.0000000000  0.9914273468  1.0000000000  0.9897128161  0.9926076709  0.9905700814  1.0000000000  0.9905700814  1.0000000000  0.9901414488  7400.0000000  0.0004760703  7400          0.1689270663 
1.0000000000  0.9854264895  1.0000000000  0.9918559794  1.0000000000  0.9892841835  0.9927148061  0.9905700814  1.0000000000  0.9905700814  1.0000000000  0.9897128161  7500.0000000  0.0004517152  7500          0.1707839894 
1.0000000000  0.9858551222  1.0000000000  0.9918559794  1.0000000000  0.9897128161  0.9926076709  0.9905700814  1.0000000000  0.9905700814  1.0000000000  0.9897128161  7600.0000000  0.0004287209  7600          0.1689936662 
1.0000000000  0.9849978568  1.0000000000  0.9909987141  1.0000000000  0.9897128161  0.9927148061  0.9909987141  1.0000000000  0.9905700814  1.0000000000  0.9901414488  7700.0000000  0.0004067526  7700          0.1693701553 
1.0000000000  0.9845692242  1.0000000000  0.9909987141  1.0000000000  0.9892841835  0.9925005357  0.9905700814  1.0000000000  0.9905700814  1.0000000000  0.9897128161  7800.0000000  0.0003860115  7800          0.1685544395 
1.0000000000  0.9854264895  1.0000000000  0.9918559794  1.0000000000  0.9892841835  0.9923934005  0.9905700814  1.0000000000  0.9905700814  1.0000000000  0.9897128161  7900.0000000  0.0003663961  7900          0.1701306701 
1.0000000000  0.9858551222  1.0000000000  0.9918559794  1.0000000000  0.9892841835  0.9925005357  0.9905700814  1.0000000000  0.9905700814  1.0000000000  0.9897128161  8000.0000000  0.0003477254  8000          0.1693690014 
1.0000000000  0.9854264895  1.0000000000  0.9914273468  1.0000000000  0.9892841835  0.9926076709  0.9905700814  1.0000000000  0.9905700814  1.0000000000  0.9897128161  8100.0000000  0.0003300652  8100          0.1685240126 
1.0000000000  0.9849978568  1.0000000000  0.9918559794  1.0000000000  0.9897128161  0.9923934005  0.9905700814  1.0000000000  0.9905700814  1.0000000000  0.9901414488  8200.0000000  0.0003132922  8200          0.1621942949 
