Args:
	algorithm: MCR
	checkpoint_freq: None
	data_dir: data
	dataset: RotatedMNIST
	holdout_fraction: 0.2
	hparams: None
	hparams_seed: 0
	output_dir: output/svdsvm/svd_5
	seed: 0
	steps: None
	test_envs: [5]
	trial_seed: 0
HParams:
	batch_size: 256
	class_balanced: False
	classification: svd
	fd: 60
	groupdro_eta: 0.01
	irm_lambda: 100.0
	irm_penalty_anneal_iters: 500
	lr: 0.001
	mixup_alpha: 0.2
	mldg_beta: 1.0
	mlp_depth: 3
	mlp_dropout: 0.0
	mlp_width: 256
	mmd_gamma: 1.0
	n_comp: 6
	resnet_dropout: 0.0
	weight_decay: 0.0
saved at step 0
env0_in_acc   env0_out_acc  env1_in_acc   env1_out_acc  env2_in_acc   env2_out_acc  env3_in_acc   env3_out_acc  env4_in_acc   env4_out_acc  env5_in_acc   env5_out_acc  epoch         loss          step          step_time    
0.1174201843  0.1093013288  0.1224555389  0.1234462066  0.1382044140  0.1384483498  0.1342404114  0.1324474925  0.1247187400  0.1294470639  0.1130397514  0.1183026147  0.0000000000  -2.675312042  0             29.604491472 
saved at step 100
0.8986500964  0.8799828547  0.9067923720  0.9027003858  0.8923291193  0.8765537934  0.8509749304  0.8598371196  0.7555984142  0.7501071582  0.6117004179  0.6232318903  100.00000000  -12.29929364  100           0.2879795384 
saved at step 200
0.9653953289  0.9549935705  0.9741804157  0.9751393056  0.9697878723  0.9627089584  0.9633597600  0.9648521217  0.9365691632  0.9275610802  0.8383156541  0.8495499357  200.00000000  -16.84355023  200           0.2794005775 
saved at step 300
0.9740732805  0.9669952850  0.9847868009  0.9824260609  0.9845725305  0.9798542649  0.9833940433  0.9815687955  0.9741776492  0.9674239177  0.9267116683  0.9391341620  300.00000000  -18.41849151  300           0.2422945833 
0.9752517677  0.9674239177  0.9876794515  0.9824260609  0.9869295050  0.9837119589  0.9843582601  0.9777111016  0.9776063431  0.9669952850  0.9346405229  0.9464209173  400.00000000  -19.32756351  400           0.2702588153 
saved at step 500
0.9845725305  0.9755679383  0.9893936147  0.9888555508  0.9887508035  0.9884269181  0.9882151275  0.9841405915  0.9810350370  0.9721388770  0.9427836708  0.9502786112  500.00000000  -19.95915805  500           0.2688686800 
saved at step 600
